Unit,Dacoity,Robbery,Murder,Speedy_Trial,Riot,Woman_Child_Repression,Kidnapping,Police_Assault,Burglary,Theft,Other_Cases,RC_Arms_Act,RC_Explosive_Act,RC_Narcotics,RC_Smuggling,Date
Rangpur Range,1,2,26,3,0,217,3,0,15,83,734,1,0,499,37,2020-07-01
SMP,0,1,5,7,1,21,0,0,3,12,55,1,0,52,4,2020-07-01
Sylhet Range,1,0,23,2,0,75,0,1,5,50,307,5,0,329,32,2020-07-01
BMP,0,1,0,3,0,16,0,0,6,12,38,3,0,43,0,2020-08-01
Barishal Range,1,3,13,9,0,141,1,2,13,21,429,3,0,210,0,2020-08-01
CMP,0,4,3,10,0,105,0,1,13,13,121,20,0,149,2,2020-08-01
Chittagong Range,6,10,58,10,0,233,9,5,53,85,1015,14,1,748,13,2020-08-01
DMP,1,13,20,10,0,222,4,2,65,89,443,8,1,978,5,2020-08-01
Dhaka Range,12,17,76,11,1,318,11,4,32,59,1036,15,4,712,12,2020-08-01
GMP,1,1,6,3,0,57,5,0,5,16,89,2,0,118,0,2020-08-01
KMP,0,1,4,1,0,9,1,1,4,9,29,2,0,119,0,2020-08-01
Khulna Range,3,8,29,2,0,212,5,2,15,63,613,4,1,517,28,2020-08-01
Mymensingh Range,0,2,21,10,0,195,1,0,11,28,590,2,0,264,7,2020-08-01
RMP,0,5,1,0,0,27,1,0,9,10,58,0,0,157,14,2020-08-01
RPMP,0,1,0,3,0,26,6,0,0,15,68,0,0,37,0,2020-08-01
Railway Range,0,0,1,0,0,1,0,0,0,1,4,0,0,13,2,2020-08-01
Rajshahi Range,1,9,33,7,0,342,3,3,9,44,584,12,4,938,94,2020-08-01
Rangpur Range,0,3,33,4,0,304,2,0,13,68,901,0,0,314,33,2020-08-01
SMP,1,3,2,6,0,17,0,1,3,9,61,2,0,48,4,2020-08-01
Sylhet Range,2,3,22,2,0,88,0,3,7,42,410,3,0,210,32,2020-08-01
BMP,0,0,4,1,0,14,1,0,3,10,44,1,0,49,0,2020-09-01
Barishal Range,2,6,11,7,0,145,3,1,15,22,382,4,0,224,0,2020-09-01
CMP,0,10,5,9,0,73,0,3,16,25,168,39,1,220,2,2020-09-01
Chittagong Range,6,18,54,8,0,260,5,3,55,105,914,16,2,765,8,2020-09-01
DMP,2,26,22,9,0,214,8,4,60,126,559,11,2,1438,6,2020-09-01
Dhaka Range,13,17,65,14,0,370,14,4,33,112,968,17,2,747,2,2020-09-01
GMP,1,3,5,3,0,58,4,0,7,15,73,1,1,93,3,2020-09-01
KMP,0,3,0,2,0,6,2,0,1,13,30,0,0,155,1,2020-09-01
Khulna Range,1,7,25,1,0,187,2,1,24,88,626,17,5,535,26,2020-09-01
Mymensingh Range,2,3,18,15,0,202,1,0,6,41,457,3,0,220,5,2020-09-01
RMP,0,2,2,1,0,24,1,0,5,5,51,2,0,271,15,2020-09-01
RPMP,0,1,2,1,0,15,0,0,3,9,44,1,0,54,0,2020-09-01
Railway Range,0,1,1,0,0,1,1,0,0,5,5,0,0,18,0,2020-09-01
Rajshahi Range,0,6,29,8,0,348,2,4,12,58,577,11,3,969,101,2020-09-01
Rangpur Range,0,1,25,1,0,287,5,1,13,67,651,3,0,361,28,2020-09-01
SMP,0,0,1,4,0,28,2,1,5,12,58,1,0,42,10,2020-09-01
Sylhet Range,1,1,10,0,0,107,3,1,6,39,386,1,0,193,24,2020-09-01
BMP,0,2,1,2,0,21,0,0,6,8,48,0,0,70,0,2020-10-01
Barishal Range,2,2,10,17,0,178,3,4,14,18,395,2,1,225,1,2020-10-01
CMP,0,19,12,19,0,115,4,1,12,21,155,46,1,293,3,2020-10-01
Chittagong Range,13,20,59,7,0,481,17,10,47,110,1035,38,3,810,15,2020-10-01
DMP,0,18,22,12,0,297,3,12,61,125,544,15,4,1429,4,2020-10-01
Dhaka Range,12,23,63,17,0,470,13,10,45,107,991,16,2,683,6,2020-10-01
GMP,1,5,7,2,0,55,1,0,1,8,75,2,0,72,1,2020-10-01
KMP,0,1,0,1,0,18,0,1,2,12,29,0,0,97,0,2020-10-01
Khulna Range,0,8,31,6,0,242,1,1,24,79,675,13,0,527,28,2020-10-01
Mymensingh Range,0,4,21,6,0,265,3,4,10,53,454,1,0,270,14,2020-10-01
RMP,0,1,0,0,0,32,3,0,4,5,47,2,0,301,40,2020-10-01
RPMP,0,0,1,1,0,30,0,0,0,14,53,0,0,74,0,2020-10-01
Railway Range,1,2,2,0,0,1,1,0,0,8,8,1,0,16,2,2020-10-01
Rajshahi Range,3,8,36,5,0,324,3,2,13,46,574,17,2,1068,114,2020-10-01
Rangpur Range,0,4,17,3,0,297,1,3,13,66,691,0,0,345,25,2020-10-01
SMP,0,0,1,3,0,29,1,1,3,13,73,1,0,36,13,2020-10-01
Sylhet Range,0,3,21,2,0,127,1,3,7,52,350,1,0,169,42,2020-10-01
BMP,0,2,2,2,0,19,0,0,5,12,33,0,0,70,0,2020-11-01
Barishal Range,1,1,13,1,0,135,1,1,13,22,419,0,0,261,0,2020-11-01
CMP,1,7,8,16,0,96,3,2,13,23,154,49,0,256,5,2020-11-01
Chittagong Range,10,13,47,4,4,297,12,1,30,112,976,28,3,815,12,2020-11-01
DMP,2,10,18,9,0,225,4,7,72,123,535,6,8,1450,11,2020-11-01
Dhaka Range,13,19,63,16,0,358,12,9,34,100,1140,16,2,827,5,2020-11-01
GMP,1,2,3,1,0,41,6,0,4,8,93,0,0,76,0,2020-11-01
KMP,0,1,1,0,0,15,0,1,2,7,37,0,0,148,0,2020-11-01
Khulna Range,1,6,24,8,0,193,3,1,17,75,601,15,1,542,25,2020-11-01
Mymensingh Range,0,0,16,9,0,183,1,3,7,43,507,1,0,283,11,2020-11-01
RMP,0,1,4,1,0,26,1,0,3,7,56,0,0,377,33,2020-11-01
RPMP,0,0,2,1,0,18,0,1,4,8,48,0,0,54,0,2020-11-01
Railway Range,0,2,0,0,0,1,0,0,0,5,16,1,0,34,0,2020-11-01
Rajshahi Range,0,7,27,3,0,235,3,6,8,39,585,11,3,971,76,2020-11-01
Rangpur Range,0,2,21,2,0,239,1,3,16,46,717,0,0,395,17,2020-11-01
SMP,0,0,4,9,0,37,0,1,3,11,101,3,1,61,10,2020-11-01
Sylhet Range,0,6,18,4,0,84,0,4,8,34,365,4,1,167,19,2020-11-01
BMP,0,1,2,1,0,18,0,0,9,10,28,2,0,64,0,2020-12-01
Barishal Range,0,2,13,1,0,92,0,2,6,20,387,2,1,229,0,2020-12-01
CMP,0,5,8,10,0,78,2,2,8,20,137,37,1,268,5,2020-12-01
Chittagong Range,7,12,38,14,2,251,11,6,40,110,936,20,3,884,12,2020-12-01
DMP,4,14,11,8,0,171,7,1,60,114,486,7,10,1503,11,2020-12-01
Dhaka Range,6,22,54,19,0,278,11,8,51,91,938,5,2,683,7,2020-12-01
GMP,1,1,10,1,0,24,13,2,8,7,65,1,0,110,1,2020-12-01
KMP,0,2,0,0,0,10,1,0,3,6,33,0,0,75,1,2020-12-01
Khulna Range,1,8,24,4,0,137,5,0,15,63,571,8,2,526,20,2020-12-01
Mymensingh Range,0,1,17,6,0,186,1,1,10,42,457,6,0,293,5,2020-12-01
RMP,0,2,0,1,0,14,2,2,2,3,45,2,0,311,18,2020-12-01
RPMP,0,0,1,0,0,20,0,0,3,8,42,1,0,58,0,2020-12-01
Railway Range,0,0,2,0,0,1,0,1,0,8,7,0,0,18,1,2020-12-01
Rajshahi Range,1,4,38,3,0,196,2,5,4,43,491,10,0,766,89,2020-12-01
Rangpur Range,1,3,24,3,0,204,1,0,4,57,683,2,0,448,28,2020-12-01
SMP,1,0,3,4,0,20,0,2,2,18,104,3,1,87,4,2020-12-01
Sylhet Range,1,4,14,3,0,70,1,3,5,37,359,6,1,186,20,2020-12-01
BMP,0,1,2,1,0,5,0,0,7,12,50,1,0,48,0,2021-01-01
Barishal Range,1,1,13,8,0,85,1,3,10,17,378,1,0,234,0,2021-01-01
CMP,0,3,9,11,0,77,0,7,8,17,150,35,11,240,4,2021-01-01
Chittagong Range,9,9,46,10,0,189,1,10,34,94,919,23,6,920,5,2021-01-01
DMP,3,15,18,12,0,185,7,7,68,128,504,5,4,1532,17,2021-01-01
Dhaka Range,12,19,51,7,0,279,10,6,45,132,1011,10,5,643,6,2021-01-01
GMP,1,6,2,3,0,28,5,1,7,8,57,5,0,100,0,2021-01-01
KMP,0,1,2,0,0,8,3,1,2,18,24,3,0,79,3,2021-01-01
Khulna Range,2,12,19,2,0,157,0,2,16,65,674,9,2,559,20,2021-01-01
Mymensingh Range,0,1,7,15,0,142,2,0,9,39,458,2,0,392,14,2021-01-01
RMP,0,2,2,0,0,18,1,1,2,5,39,1,0,329,26,2021-01-01
RPMP,0,0,0,9,0,21,1,0,3,12,50,0,0,68,0,2021-01-01
Railway Range,0,1,1,1,0,2,0,0,0,3,9,0,0,24,0,2021-01-01
Rajshahi Range,1,7,42,2,0,182,2,4,5,39,496,17,7,818,63,2021-01-01
Rangpur Range,3,4,25,0,0,159,2,1,8,46,680,1,0,416,39,2021-01-01
SMP,0,2,2,5,0,23,1,1,3,15,89,0,0,87,8,2021-01-01
Sylhet Range,1,3,16,6,0,81,1,3,5,44,357,1,2,150,33,2021-01-01
BMP,0,1,2,0,0,5,0,0,3,5,41,0,0,50,0,2021-02-01
Barishal Range,2,1,9,10,0,110,0,1,12,23,372,0,1,197,0,2021-02-01
CMP,0,4,3,12,0,55,3,5,12,26,144,46,2,270,2,2021-02-01
Chittagong Range,4,11,43,8,0,198,8,7,33,91,908,33,7,891,11,2021-02-01
DMP,0,8,12,5,0,171,4,11,55,101,459,7,3,1224,15,2021-02-01
Dhaka Range,14,17,54,10,0,277,8,6,37,116,918,14,2,846,3,2021-02-01
GMP,3,3,8,3,0,32,4,0,4,16,66,2,1,72,0,2021-02-01
KMP,0,0,1,0,0,8,0,1,2,8,41,1,0,92,0,2021-02-01
Khulna Range,2,4,27,1,1,151,4,3,21,91,604,14,0,632,15,2021-02-01
Mymensingh Range,0,3,20,12,0,130,2,0,5,38,470,0,3,269,15,2021-02-01
RMP,0,3,1,0,0,18,4,2,0,7,49,0,0,221,18,2021-02-01
RPMP,0,0,1,1,0,17,1,0,0,9,37,0,0,65,0,2021-02-01
Railway Range,0,0,1,1,0,1,0,0,1,7,8,0,0,36,0,2021-02-01
Rajshahi Range,1,6,30,5,0,158,1,2,6,39,566,21,6,802,66,2021-02-01
Rangpur Range,0,1,18,4,0,158,2,2,18,41,662,2,3,457,19,2021-02-01
SMP,0,0,4,13,0,33,0,5,3,13,85,1,0,75,4,2021-02-01
Sylhet Range,0,5,15,5,0,75,1,5,5,54,297,6,0,223,29,2021-02-01
BMP,0,1,2,3,0,8,0,0,5,5,30,1,0,71,0,2021-03-01
Barishal Range,1,1,8,7,0,108,1,1,11,24,407,2,1,307,0,2021-03-01
CMP,1,6,8,17,0,77,4,3,15,22,143,54,3,334,1,2021-03-01
Chittagong Range,7,12,54,17,0,259,9,21,24,98,1070,34,5,1118,13,2021-03-01
DMP,3,8,7,6,1,223,8,14,50,115,531,8,5,1303,8,2021-03-01
Dhaka Range,7,28,90,13,0,332,6,17,46,107,1100,9,2,799,3,2021-03-01
GMP,0,3,4,4,0,47,2,4,5,11,76,5,0,123,0,2021-03-01
KMP,0,0,1,0,0,9,0,2,1,10,35,2,0,117,0,2021-03-01
Khulna Range,3,11,24,5,0,196,3,0,23,89,688,18,0,848,33,2021-03-01
Mymensingh Range,1,1,15,17,0,189,3,0,9,44,502,4,0,488,18,2021-03-01
RMP,0,2,1,0,0,19,0,1,1,5,53,0,0,292,19,2021-03-01
RPMP,0,0,0,4,0,11,0,0,7,16,41,0,0,72,2,2021-03-01
Railway Range,0,0,0,0,0,0,0,0,0,7,8,0,0,34,1,2021-03-01
Rajshahi Range,0,7,34,4,0,210,4,6,7,48,606,13,1,992,57,2021-03-01
Rangpur Range,0,3,24,4,0,221,2,2,12,69,698,1,1,503,32,2021-03-01
SMP,0,1,2,7,0,20,0,1,4,12,83,3,0,61,5,2021-03-01
Sylhet Range,0,1,21,2,0,71,3,7,5,40,368,2,0,174,26,2021-03-01
BMP,0,2,0,0,0,13,0,0,2,12,35,1,0,76,0,2021-04-01
Barishal Range,1,4,14,3,0,119,0,1,12,20,528,6,1,188,1,2021-04-01
CMP,0,4,9,14,0,51,2,2,11,22,174,68,0,181,1,2021-04-01
Chittagong Range,2,6,56,11,0,209,6,12,19,67,1214,30,2,845,13,2021-04-01
DMP,1,13,18,3,3,177,2,8,50,95,454,8,2,947,8,2021-04-01
Dhaka Range,6,23,65,13,5,301,7,9,26,118,1263,13,7,592,3,2021-04-01
GMP,0,2,4,2,0,53,2,2,6,11,68,2,0,62,1,2021-04-01
KMP,0,0,1,0,0,6,0,0,5,11,32,0,0,97,0,2021-04-01
Khulna Range,1,10,25,3,0,200,5,5,13,66,792,6,4,489,13,2021-04-01
Mymensingh Range,0,0,17,12,0,168,4,3,6,36,635,2,0,292,6,2021-04-01
RMP,0,3,5,0,0,18,0,0,1,4,55,1,0,128,12,2021-04-01
RPMP,0,0,2,2,0,31,1,1,1,12,67,0,0,29,0,2021-04-01
Railway Range,0,0,0,0,0,0,0,0,0,4,6,0,0,10,0,2021-04-01
Rajshahi Range,1,5,34,4,0,213,2,3,3,43,665,14,1,889,61,2021-04-01
Rangpur Range,1,4,28,3,0,198,2,2,10,51,853,2,0,349,15,2021-04-01
SMP,0,0,2,3,0,26,0,1,3,16,110,3,0,72,7,2021-04-01
Sylhet Range,2,4,22,2,0,72,3,2,8,33,394,2,0,151,25,2021-04-01
BMP,1,0,0,2,0,12,1,0,6,6,35,3,0,70,0,2021-05-01
Barishal Range,1,4,17,7,0,85,0,0,15,25,537,2,3,235,0,2021-05-01
CMP,1,4,2,18,0,54,5,1,17,21,193,47,0,209,0,2021-05-01
Chittagong Range,3,14,54,22,0,250,6,11,36,91,1314,35,1,1021,8,2021-05-01
DMP,4,17,19,11,0,172,1,5,52,116,488,17,5,1064,12,2021-05-01
Dhaka Range,8,19,54,13,0,304,12,8,30,98,1182,21,5,683,3,2021-05-01
GMP,0,3,6,2,0,37,3,3,2,15,66,1,0,70,0,2021-05-01
KMP,0,2,3,0,0,13,0,0,1,8,33,0,0,94,0,2021-05-01
Khulna Range,1,5,32,5,0,177,2,1,10,63,762,7,2,571,12,2021-05-01
Mymensingh Range,0,2,19,17,0,191,0,2,2,51,704,2,0,270,12,2021-05-01
RMP,0,1,1,0,0,16,0,0,4,7,53,2,0,174,11,2021-05-01
RPMP,0,0,1,5,0,16,0,0,8,8,64,0,0,42,0,2021-05-01
Railway Range,0,0,1,0,0,0,0,0,0,4,3,0,0,5,0,2021-05-01
Rajshahi Range,1,5,33,8,0,187,3,6,8,55,675,17,1,852,47,2021-05-01
Rangpur Range,1,2,22,0,0,229,4,3,5,56,846,2,0,436,30,2021-05-01
SMP,0,0,5,6,0,22,1,1,2,11,97,3,0,81,5,2021-05-01
Sylhet Range,2,5,26,0,0,84,1,3,5,27,440,2,0,156,15,2021-05-01
BMP,0,1,0,2,0,12,1,0,4,14,30,2,0,90,0,2021-06-01
Barishal Range,2,5,19,13,0,123,5,4,8,24,441,1,0,214,0,2021-06-01
CMP,0,6,4,13,0,87,3,3,15,25,187,52,0,254,7,2021-06-01
Chittagong Range,6,14,46,13,0,294,12,6,27,108,988,28,0,1205,22,2021-06-01
DMP,4,15,10,13,0,213,3,4,58,105,570,8,3,1373,9,2021-06-01
Dhaka Range,20,13,58,9,2,363,13,11,40,112,946,25,2,1018,4,2021-06-01
GMP,1,1,3,3,0,41,1,0,2,12,60,4,0,96,0,2021-06-01
KMP,0,1,0,0,0,18,0,1,1,11,38,1,0,97,2,2021-06-01
Khulna Range,2,8,23,3,0,196,3,2,19,77,678,7,1,583,11,2021-06-01
Mymensingh Range,0,2,20,17,0,238,2,2,4,43,528,4,1,307,11,2021-06-01
RMP,0,1,5,1,1,13,0,0,2,3,40,2,0,134,7,2021-06-01
RPMP,0,0,2,2,0,22,1,0,2,10,51,1,0,65,0,2021-06-01
Railway Range,0,2,0,0,0,1,0,0,0,4,11,1,0,15,0,2021-06-01
Rajshahi Range,0,7,28,11,0,231,3,5,7,65,629,13,5,863,59,2021-06-01
Rangpur Range,0,4,28,2,0,273,2,1,17,58,743,0,0,413,32,2021-06-01
SMP,0,2,3,6,0,30,0,1,6,19,81,0,0,69,5,2021-06-01
Sylhet Range,3,4,18,4,0,113,1,1,5,48,373,4,0,171,31,2021-06-01
BMP,1,0,0,2,0,11,0,0,5,8,38,2,0,72,0,2021-07-01
Barishal Range,2,0,10,7,0,108,1,1,16,19,374,2,0,181,0,2021-07-01
CMP,0,5,9,13,0,57,0,1,15,29,130,40,0,107,3,2021-07-01
Chittagong Range,5,10,45,12,0,225,6,7,43,98,959,36,6,1040,11,2021-07-01
DMP,1,7,8,7,0,190,2,2,44,98,428,12,5,970,7,2021-07-01
Dhaka Range,7,14,59,20,0,288,4,5,45,100,937,29,1,678,2,2021-07-01
GMP,1,1,10,2,0,30,3,1,3,18,50,1,0,77,0,2021-07-01
KMP,0,0,1,0,0,13,0,0,2,8,24,0,0,75,2,2021-07-01
Khulna Range,0,4,28,2,0,129,1,1,23,62,612,12,1,446,15,2021-07-01
Mymensingh Range,0,1,19,11,0,194,1,2,4,50,564,2,0,189,21,2021-07-01
RMP,0,2,2,1,0,11,0,0,7,4,58,0,0,141,6,2021-07-01
RPMP,0,0,1,6,0,28,1,0,0,16,38,0,0,45,0,2021-07-01
Railway Range,0,0,0,0,0,1,0,0,0,4,4,0,0,4,0,2021-07-01
Rajshahi Range,2,8,34,12,0,198,2,7,5,58,576,12,3,853,47,2021-07-01
Rangpur Range,1,4,33,2,0,230,2,3,18,55,715,1,0,306,25,2021-07-01
SMP,0,3,1,5,0,26,0,1,7,12,68,3,0,55,6,2021-07-01
Sylhet Range,2,2,19,1,0,78,1,1,3,42,326,3,0,179,31,2021-07-01
BMP,0,0,1,1,0,19,0,1,4,16,31,0,0,93,0,2021-08-01
Barishal Range,3,3,11,6,0,121,0,0,13,27,313,2,0,286,2,2021-08-01
CMP,0,7,5,15,1,66,1,1,21,35,159,37,0,184,1,2021-08-01
Chittagong Range,6,16,58,10,0,245,8,7,49,95,845,50,2,1314,23,2021-08-01
DMP,1,13,13,4,0,171,1,4,74,124,487,8,5,1384,24,2021-08-01
Dhaka Range,9,16,59,22,1,332,6,5,50,115,913,25,4,843,3,2021-08-01
GMP,1,3,1,0,0,34,2,1,6,11,57,1,0,108,0,2021-08-01
KMP,0,0,0,0,0,10,0,0,4,17,30,3,0,104,1,2021-08-01
Khulna Range,3,9,26,2,0,184,0,3,19,70,595,10,1,681,18,2021-08-01
Mymensingh Range,0,2,24,13,0,225,1,0,6,60,549,0,1,342,19,2021-08-01
RMP,0,2,4,1,0,10,0,0,3,4,38,3,0,374,7,2021-08-01
RPMP,0,0,0,0,0,11,2,0,5,13,45,0,0,67,0,2021-08-01
Railway Range,0,1,1,0,0,0,0,0,0,13,11,0,0,13,0,2021-08-01
Rajshahi Range,4,7,30,8,0,230,5,5,10,76,576,21,4,1535,53,2021-08-01
Rangpur Range,3,2,25,3,0,293,4,3,26,65,676,2,0,424,23,2021-08-01
SMP,0,0,2,5,0,24,0,0,1,16,83,5,0,78,9,2021-08-01
Sylhet Range,0,3,18,3,0,104,2,0,5,48,316,2,0,218,26,2021-08-01
BMP,0,0,0,0,0,11,0,0,6,8,37,1,0,90,0,2021-09-01
Barishal Range,1,1,9,3,0,131,2,1,8,26,294,1,0,272,1,2021-09-01
CMP,1,10,3,11,0,70,0,0,25,26,173,48,0,213,1,2021-09-01
Chittagong Range,3,8,56,6,0,266,12,9,42,109,849,39,4,1345,15,2021-09-01
DMP,1,12,19,4,0,221,6,1,44,105,507,9,7,1438,13,2021-09-01
Dhaka Range,9,27,47,13,0,319,6,13,30,151,868,27,1,816,7,2021-09-01
GMP,2,1,6,1,0,34,3,1,2,12,65,4,0,100,0,2021-09-01
KMP,0,0,4,0,0,9,0,0,2,10,22,1,0,97,0,2021-09-01
Khulna Range,0,8,27,5,0,194,0,5,22,76,635,10,2,539,13,2021-09-01
Mymensingh Range,0,1,17,8,0,204,3,0,2,60,494,3,0,354,17,2021-09-01
RMP,0,1,7,0,0,17,0,2,2,9,51,1,0,276,11,2021-09-01
RPMP,0,0,2,3,0,22,0,0,4,13,40,0,0,62,0,2021-09-01
Railway Range,1,1,1,0,0,1,0,0,0,18,8,1,0,34,1,2021-09-01
Rajshahi Range,1,9,31,8,0,245,1,3,12,64,619,16,1,1242,71,2021-09-01
Rangpur Range,3,1,17,3,0,238,4,1,19,82,616,0,1,364,21,2021-09-01
SMP,0,1,3,7,0,41,0,1,5,16,108,0,0,68,5,2021-09-01
Sylhet Range,1,5,18,5,0,112,0,0,10,45,339,2,0,177,22,2021-09-01
BMP,0,0,2,4,0,10,0,0,9,10,49,0,0,92,0,2021-10-01
Barishal Range,3,4,12,1,0,128,1,1,19,19,400,1,0,246,0,2021-10-01
CMP,0,8,2,2,0,102,4,1,12,23,162,15,0,169,1,2021-10-01
Chittagong Range,6,10,43,4,0,265,5,21,32,105,963,33,2,945,8,2021-10-01
DMP,4,13,17,7,0,215,5,6,46,110,597,10,5,1472,16,2021-10-01
Dhaka Range,8,28,60,18,1,299,1,13,35,123,904,20,1,690,7,2021-10-01
GMP,1,0,4,5,0,38,4,0,0,17,58,2,0,109,0,2021-10-01
KMP,1,0,1,0,0,12,0,0,0,11,40,2,0,83,2,2021-10-01
Khulna Range,3,8,17,3,0,170,2,2,24,82,563,21,4,519,17,2021-10-01
Mymensingh Range,1,0,10,13,0,179,1,0,1,46,436,2,0,274,25,2021-10-01
RMP,0,2,1,0,0,12,1,0,3,9,47,0,0,281,9,2021-10-01
RPMP,0,0,1,1,0,17,0,0,2,13,53,0,0,58,0,2021-10-01
Railway Range,0,0,2,0,0,0,0,0,0,12,7,0,0,18,1,2021-10-01
Rajshahi Range,0,8,37,7,0,185,5,6,11,61,553,20,2,1224,54,2021-10-01
Rangpur Range,1,1,18,1,0,229,2,2,18,55,578,1,0,305,18,2021-10-01
SMP,0,6,2,4,0,26,1,2,11,18,80,1,0,62,1,2021-10-01
Sylhet Range,1,6,14,0,0,79,3,3,5,27,310,2,0,140,16,2021-10-01
BMP,0,0,0,1,0,14,0,0,2,5,48,1,0,81,0,2021-11-01
Barishal Range,6,2,14,14,0,93,2,3,10,15,308,4,1,209,4,2021-11-01
CMP,0,10,8,11,0,74,1,0,18,24,149,23,0,258,2,2021-11-01
Chittagong Range,4,10,48,10,3,214,6,13,37,80,815,58,4,988,14,2021-11-01
DMP,1,12,11,11,0,134,5,6,41,126,584,10,10,1981,19,2021-11-01
Dhaka Range,7,18,63,11,1,251,5,20,25,98,881,41,11,667,2,2021-11-01
GMP,2,3,5,5,0,36,4,0,4,10,53,1,0,86,0,2021-11-01
KMP,2,2,0,0,0,12,2,0,2,4,43,1,0,80,1,2021-11-01
Khulna Range,0,5,29,9,0,123,1,4,6,59,524,12,4,513,11,2021-11-01
Mymensingh Range,0,0,8,10,0,151,3,13,7,40,420,4,1,278,7,2021-11-01
RMP,0,1,2,2,1,13,1,0,2,5,49,1,0,216,15,2021-11-01
RPMP,0,0,1,1,0,17,0,2,0,11,50,1,0,44,0,2021-11-01
Railway Range,0,1,1,0,0,0,0,0,0,6,6,2,0,29,2,2021-11-01
Rajshahi Range,0,7,30,7,0,147,1,14,7,44,569,23,10,908,40,2021-11-01
Rangpur Range,2,6,14,1,0,143,0,14,8,62,592,2,0,269,17,2021-11-01
SMP,0,3,0,5,0,22,0,2,7,8,91,2,0,94,3,2021-11-01
Sylhet Range,4,2,17,2,0,59,0,2,8,35,284,5,0,203,22,2021-11-01
BMP,0,0,1,0,0,9,0,0,4,7,22,0,0,85,0,2021-12-01
Barishal Range,1,0,13,5,0,89,1,1,12,19,363,3,2,191,0,2021-12-01
CMP,1,9,4,9,0,80,2,1,12,31,163,14,0,201,3,2021-12-01
Chittagong Range,4,6,37,5,0,209,2,7,25,74,745,60,2,957,19,2021-12-01
DMP,0,11,14,6,0,146,5,1,61,120,530,16,20,1525,21,2021-12-01
Dhaka Range,8,18,48,13,1,214,8,11,32,114,941,21,6,610,1,2021-12-01
GMP,1,3,5,1,0,21,0,0,2,9,53,0,0,75,0,2021-12-01
KMP,0,1,1,1,0,5,0,0,3,5,38,1,0,85,1,2021-12-01
Khulna Range,2,3,24,15,0,138,1,4,12,74,549,18,2,497,14,2021-12-01
Mymensingh Range,0,6,15,11,0,144,4,2,4,37,448,1,0,215,19,2021-12-01
RMP,0,0,1,0,1,6,1,0,1,4,65,0,0,205,15,2021-12-01
RPMP,0,0,0,0,0,10,0,0,3,17,58,0,0,50,0,2021-12-01
Railway Range,0,1,0,0,0,0,0,0,0,9,14,0,0,16,1,2021-12-01
Rajshahi Range,1,11,36,4,0,124,0,9,6,54,546,26,3,846,53,2021-12-01
Rangpur Range,0,2,15,1,0,158,5,6,8,65,641,1,0,287,5,2021-12-01
SMP,0,2,1,7,0,16,0,0,4,9,79,0,0,75,8,2021-12-01
Sylhet Range,0,3,16,1,0,57,0,5,3,39,255,3,0,117,22,2021-12-01
BMP,1,0,3,1,0,9,1,2,6,9,32,2,1,100,0,2022-01-01
Barishal Range,1,3,13,3,0,79,1,1,13,29,345,3,1,273,1,2022-01-01
CMP,2,3,2,13,0,53,1,4,9,36,188,13,1,221,0,2022-01-01
Chittagong Range,5,14,50,5,0,187,4,7,32,94,802,50,2,1115,24,2022-01-01
DMP,3,10,9,12,0,170,5,5,49,112,510,7,7,1640,9,2022-01-01
Dhaka Range,14,18,76,16,0,209,7,12,40,119,971,24,6,761,4,2022-01-01
GMP,0,3,4,2,0,28,3,0,1,6,58,1,0,87,0,2022-01-01
KMP,0,0,2,0,0,12,0,0,4,4,32,1,1,101,0,2022-01-01
Khulna Range,2,10,29,5,0,131,3,4,18,64,549,16,3,636,22,2022-01-01
Mymensingh Range,0,2,16,16,0,128,1,4,5,49,496,2,0,252,15,2022-01-01
RMP,0,9,3,5,0,14,1,0,0,9,39,0,1,214,14,2022-01-01
RPMP,0,0,0,1,0,23,1,0,3,13,73,1,0,56,0,2022-01-01
Railway Range,0,0,1,0,0,0,2,0,0,12,14,0,0,34,1,2022-01-01
Rajshahi Range,0,10,21,7,0,142,4,10,5,52,592,19,7,1005,66,2022-01-01
Rangpur Range,1,5,20,1,0,162,4,2,18,73,590,6,0,332,10,2022-01-01
SMP,0,2,0,5,0,26,0,1,3,12,72,1,0,84,0,2022-01-01
Sylhet Range,1,2,15,2,0,60,1,1,7,36,312,1,0,137,15,2022-01-01
BMP,0,0,1,0,0,13,0,0,7,15,32,0,0,82,0,2022-02-01
Barishal Range,3,5,4,5,0,95,0,2,11,16,301,0,0,268,0,2022-02-01
CMP,2,7,4,10,0,46,0,1,18,25,177,20,0,167,1,2022-02-01
Chittagong Range,1,9,44,8,0,160,5,14,22,80,804,63,3,1136,12,2022-02-01
DMP,4,16,12,14,0,141,2,6,49,135,511,12,5,1549,19,2022-02-01
Dhaka Range,15,22,56,12,0,250,7,10,38,125,910,15,5,861,0,2022-02-01
GMP,6,2,1,3,0,23,4,0,0,12,57,1,0,84,0,2022-02-01
KMP,0,1,2,0,0,13,0,0,2,5,22,2,0,103,0,2022-02-01
Khulna Range,1,5,23,5,0,120,0,2,13,70,550,12,4,745,14,2022-02-01
Mymensingh Range,1,1,14,4,0,124,4,4,5,42,453,1,0,328,16,2022-02-01
RMP,0,2,2,0,0,13,0,1,4,8,30,0,0,209,8,2022-02-01
RPMP,0,0,0,0,0,8,0,0,0,15,48,0,0,44,0,2022-02-01
