category,model,horizon,fold,MAPE,WAPE,sMAPE,MAE,RMSE,true_MASE
Murder,LGBM,1,2,20.223038994381312,20.223038994286814,18.36596124246053,43.27730344797601,43.27730344797601,1.5214676993429066
Murder,LGBM,1,3,8.406116374810189,8.406116374781792,8.774931867073626,24.88210446943816,24.88210446943816,0.8804114471073317
Murder,LGBM,1,4,8.630760515438556,8.630760515401194,8.273718117211173,19.937056790663064,19.937056790663064,0.7184524969608311
Murder,Ensemble,1,0,7.27231504043842,7.272315040410874,7.546725881079322,19.19891170675743,19.19891170675743,0.6054847318819688
Murder,Ensemble,1,1,13.396085303725268,13.396085303681494,14.357775211207016,40.992021029399325,40.992021029399325,1.364884163021065
Murder,Ensemble,1,2,12.012453549700798,12.012453549644665,11.331837680807098,25.706650596359708,25.706650596359708,0.903749435028271
Murder,Ensemble,1,3,5.138608852585006,5.138608852567645,5.274116973422074,15.210282203651616,15.210282203651616,0.5381902717383048
Murder,Ensemble,1,4,0.2469423593390508,0.2469423593379818,0.24663783269697465,0.5704368500732073,0.5704368500732073,0.020556282885520985
Murder,Naive,3,0,6.753261358524516,6.979865771802711,7.106072194463615,17.333333333333332,21.24460715883759,0.5466491458607096
Murder,Naive,3,1,12.344187566539851,12.631578947353647,13.308145725085849,36.0,39.5558676641869,1.1986681465038844
Murder,Naive,3,2,14.802283103301376,15.624999999977806,16.412826724886216,36.666666666666664,43.711173247428015,1.2890625
Murder,Naive,3,3,9.967901272249097,9.783989834803323,9.674044265575292,25.666666666666668,26.413380447543375,0.9081718618365627
Murder,Naive,3,4,2.097642594504519,2.1126760563350526,2.121424237889094,5.0,5.446711546122731,0.18018018018018017
Murder,SNaive,3,0,9.498323314112788,9.395973154349804,8.870165787035758,23.333333333333332,29.314387821227538,0.735873850197109
Murder,SNaive,3,1,6.3295059515344185,6.432748538004172,6.486905251599645,18.333333333333332,19.39931270260195,0.6104328523862375
Murder,SNaive,3,2,12.201904094078737,11.789772727255981,11.446333264180385,27.666666666666668,32.067636852960234,0.9726562500000001
Murder,SNaive,3,3,9.141427108179027,8.64040660735878,8.535455072146087,22.666666666666668,27.65260686927485,0.802021903959562
Murder,SNaive,3,4,8.997732857565493,9.014084507029557,8.957499813142139,21.333333333333332,22.015146301277824,0.7687687687687688
Murder,ETS,3,0,3.5468213757383746,3.4788153622466726,3.619947724759694,8.639058149590833,9.661371362315048,0.2724538706835479
Murder,ETS,3,1,9.44754897682358,9.481860382509685,10.05569644642403,27.023302090184206,31.57100223923274,0.8997769841348792
Murder,ETS,3,2,10.529805513097145,10.532038474539434,10.455268314212901,24.715183620287643,26.395637925788556,0.8688931741507375
Murder,ETS,3,3,3.447472092982848,3.5896911778030387,3.456921467613715,9.41695652311527,11.035162688209386,0.33320317941941135
Murder,ETS,3,4,6.065103199380725,6.14087694568369,6.507587945344764,14.53340877147187,21.69734351858115,0.5237264422152025
Murder,Theta,3,0,5.250152206365324,5.433672173646786,5.462995847220372,13.493619231240965,16.783328206418727,0.4255543515765876
Murder,Theta,3,1,10.24224873654113,10.529521129492712,10.942241129759092,30.00913521908933,34.021373298102105,0.999194291423618
Murder,Theta,3,2,6.8807543496354695,6.834096759039323,6.7241896856135,16.037347061235057,18.965045599047894,0.563812982621545
Murder,Theta,3,3,5.920956497940287,5.651216040539072,5.697276323940565,14.825023413033003,17.207389327046364,0.5245585369396681
Murder,Theta,3,4,5.345221174221213,5.37439363100465,5.2818289220595025,12.719398260062254,13.709229200296088,0.4583566940562975
Murder,ARIMA,3,0,4.216392560586332,4.385972767785553,4.370006072477749,10.891832373348743,14.242096535684786,0.3435006267547567
Murder,ARIMA,3,1,9.080508317838348,9.317609519642236,9.610568107980596,26.555187131011433,29.732797430090812,0.8841904705109245
Murder,ARIMA,3,2,9.757479790115049,10.477952664669214,10.523810101022296,24.58826225312535,31.739876111240342,0.8644310948364381
Murder,ARIMA,3,3,9.240636023546461,9.417090737237018,9.329940127497897,24.704168034049832,26.729999868378204,0.8741154654002468
Murder,ARIMA,3,4,2.2973895020260917,2.323273060984422,2.3360144993866365,5.498412911004209,6.6009538604130364,0.19814100580195348
Murder,SARIMA,3,0,5.80471589626573,5.924057812927971,5.901294350831026,14.71141023545754,16.183077816051735,0.4639603753626557
Murder,SARIMA,3,1,16.006488983694325,16.188927720094107,17.869639004738694,46.13844400232217,52.240994871837856,1.536241198745466
